s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.09834,Observation of discontinuities in the periodic modulation of PSR B1828−11,0,0
ARXIV:2501.09827,Dual-component stellar assembly histories in local elliptical galaxies via MUSE,2,2
ARXIV:2501.09816,Galaxy Morphological Classification with Zernike Moments and Machine Learning Approaches,1,1
ARXIV:2501.09810,The Cosmic Evolution of Fast Radio Bursts Inferred from the CHIME/FRB Baseband Catalog 1,3,3
ARXIV:2501.09809,On the seismic modelling of subgiant stars: testing different grid interpolation methods,0,0
ARXIV:2501.09800,Kinematically induced dipole anisotropy in line-emitting galaxy number counts and line intensity maps,1,1
ARXIV:2501.09795,11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,0,0
ARXIV:2501.09793,Cepheids in spectroscopic binary systems - current status and recent discoveries,0,0
ARXIV:2501.09792,Dust Dynamics in Radially Convective Regions of Protoplanetary Disks,1,1
ARXIV:2501.09791,Star-Forming Nuclear Clusters in Dwarf Galaxies Mimicking AGN Signatures in the Mid-Infrared,0,0
ARXIV:2501.09789,Detecting dark matter sub-halos in the Galactic plane with the Cherenkov Telescope Array Observatory,0,0
ARXIV:2501.09786,Evolution of SMBHs in light of PTA measurements: implications for growth by mergers and accretion,5,5
ARXIV:2501.09780,MUSE observations of V1425 Aql reveal an arc-shaped nova shell,1,1
ARXIV:2501.09748,PyPLUTO: a data analysis Python package for the PLUTO code,2,2
ARXIV:2501.09739,Stellar Occultation Observations of (38628) Huya and Its Satellite: A Detailed Look into the System,2,2
ARXIV:2501.09737,25 years of XMM-Newton observations of the Sgr A complex. 3D distribution and internal structure of the clouds,1,1
ARXIV:2501.09663,Jet-shaped filamentary ejecta in common envelope evolution,0,0
ARXIV:2501.12002,"The SPHERE infrared survey for exoplanets (SHINE). IV. Complete observations, data reduction and analysis, detection performances, and final results",2,2
ARXIV:2501.10594,Accurate and thermodynamically consistent hydrogen equation of state for planetary modeling with flow matching,2,2
ARXIV:2501.10622,CWTHF: Identifying Dark Matter Halos with Continuous Wavelet Transform,0,0
ARXIV:2501.11686,The centimeter emission from planet-forming disks in Taurus,3,3
ARXIV:2501.11679,Gravitational Wave Decoupling in Retrograde Circumbinary Disks,2,2
ARXIV:2501.11678,GLIMPSE: An ultra-faint $\simeq$ 10$^{5}$ $M_{\odot}$ Pop III Galaxy Candidate and First Constraints on the Pop III UV Luminosity Function at $z\simeq6-7$,3,3
ARXIV:2501.11676,Cosmic Large-Scale Structure Formation from Newtonian Particle Dynamics,2,2
ARXIV:2501.11674,Tracing the galaxy-halo connection with galaxy clustering in COSMOS-Web from z = 0.1 to z ∼ 12,3,3
ARXIV:2501.11670,"Less wound and more asymmetric: JWST confirms the evolution of spiral structure in galaxies at 
$z \lesssim 3$",3,3
ARXIV:2501.11669,Paper Not Found,0,0
